header,price,subtitle
"3-комнатная квартира, 62.7 м², 2/9 этаж",31000000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 3/8"
"2-комнатная квартира, 54 м², 14/16 этаж",18500000,"Казыбек би р-н, мкр Юго-Восток, Республики 18/2"
"3-комнатная квартира, 49 м², 5/5 этаж",18500000,"Казыбек би р-н, мкр Юго-Восток, Муканова — Строителей"
"2-комнатная квартира, 44 м², 2/9 этаж",18000000,"Казыбек би р-н, мкр Юго-Восток, Мкр муканова 17"
"4-комнатная квартира, 80 м², 2/5 этаж",40000000,"Казыбек би р-н, мкр Михайловка , Касыма Аманжолова 9"
"2-комнатная квартира, 58.3 м², 9/9 этаж",19000000,"Казыбек би р-н, мкр Юго-Восток, Муканова 86"
"4-комнатная квартира, 150 м², 2/3 этаж",51450000,"Казыбек би р-н, мкр Новый Город, Жамбыла 46а"
"2-комнатная квартира, 45 м², 5/5 этаж",17500000,"Казыбек би р-н, мкр Юго-Восток, 29й микрорайон — Университетская"
"3-комнатная квартира, 75 м², 5/5 этаж",24500000,"Казыбек би р-н, мкр Михайловка , Крылова 34"
"3-комнатная квартира, 89.1 м², 4/5 этаж",35700000,"Казыбек би р-н, мкр Юго-Восток, Гульдер 1 16/1"
"4-комнатная квартира, 130 м²",40300000,"Казыбек би р-н, Тургенева"
"4-комнатная квартира, 150 м²",46500000,"Казыбек би р-н, Тургенева участок 4"
"4-комнатная квартира, 158 м²",48980000,"Казыбек би р-н, Тургенева 4"
"1-комнатная квартира, 43.22 м², 5/10 этаж",15500000,"Казыбек би р-н, мкр Новый Город, Камали Дүйсембекова 53/8"
"4-комнатная квартира, 80.3 м², 9/9 этаж",28800000,"Казыбек би р-н, мкр Юго-Восток, 27й микрорайон 1"
"2-комнатная квартира, 46 м², 2/5 этаж",17500000,"Казыбек би р-н, мкр Новый Город, Ерубаева 31 — Лободы"
"2-комнатная квартира, 44 м², 2/5 этаж",18700000,"Казыбек би р-н, мкр Новый Город, Ерубаева 31 — Лободы"
"2-комнатная квартира, 69.2 м², 2/4 этаж",49500000,"Казыбек би р-н, Касыма Аманжолова 94/3"
"4-комнатная квартира, 78 м², 5/9 этаж",32400000,"Казыбек би р-н, мкр Юго-Восток, Степной 2 1"
"3-комнатная квартира, 63.5 м², 1/5 этаж",23000000,"Казыбек би р-н, мкр Михайловка , Мкр Михайловка Крылова 24"
"2-комнатная квартира, 69.7 м²",от 24395000,"Казыбек би р-н, Университетская 17/3"
"4-комнатная квартира, 101.3 м²",от 28870500,"Казыбек би р-н, Муканова 55/2"
"3-комнатная квартира, 61 м², 8/9 этаж",22300000,Абдирова 15
"4-комнатная квартира, 121 м², 10/16 этаж",96000000,Ержанова 34/1
"2-комнатная квартира, 54.2 м², 9/10 этаж",18970000,"Казыбек би р-н, мкр Юго-Восток, Ашимова 21"
"3-комнатная квартира, 61 м², 8/9 этаж",23000000,"Казыбек би р-н, Абдирова 19"
"2-комнатная квартира, 54.9 м², 8/9 этаж",18000000,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон 29"
"3-комнатная квартира, 60 м², 7/9 этаж",25580000,"Казыбек би р-н, проспект Нуркена Абдирова 25"
